family,n,root_value,shell_size,defect_density_mean,triad_density_mean,distance_mean
root12,3,9.797959,10,0.10538888888888888,0.4158611111111112,1.0161695257287402
root12,4,13.856406,14,0.11091269841269841,0.34057539682539684,0.8452045311848235
root12,5,19.595918,20,0.12216666666666665,0.2539444444444445,1.460684061688913
root12,6,27.712813,28,0.16801587301587304,0.20694444444444446,1.8527353499232158
root12,7,39.191836,39,0.19403133903133904,0.23373219373219375,1.0538421878192028
root12,8,55.425626,55,0.24627272727272728,0.21124242424242423,1.3278241355015803
root13,2,10.816654,11,0.0870959595959596,0.5322979797979798,1.1192942933850096
root13,3,18.734994,19,0.10945906432748537,0.30644736842105263,1.2506938611083116
root13,4,32.449961,32,0.180703125,0.240234375,1.5489478004013024
root13,5,56.204982,56,0.26917162698412694,0.1982142857142857,1.3645979968767399
